Account Name,Likes,Replies,Retweets,Followers,Like Activity,Reply Activity,Retweet Activity
elonmusk,7669,363,836,120300000,0.0064,0.0003,0.0007
elonmusk,101800,8305,8521,120300000,0.0846,0.0069,0.0071
elonmusk,295100,22300,27200,120300000,0.2453,0.0185,0.0226
elonmusk,518100,45700,35400,120300000,0.4307,0.0380,0.0294
elonmusk,114100,5085,6490,120300000,0.0948,0.0042,0.0054
jack,396300,36000,92900,6500000,6.0969,0.5538,1.4292
jack,261,45,35,6500000,0.0040,0.0007,0.0005
jack,669,110,83,6500000,0.0103,0.0017,0.0013
